CALLS,,,,,"Expires Mar 17, 2023",,,PUTS,,,,
LAST,CHG,BID,ASK,VOL,OPEN INT.,STRIKE,LAST,CHG,BID,ASK,VOL,OPEN INT.
0.03,-0.05,0.01,0.04,897,"5,349",206.67,29.1,4.5,25.65,26.7,8,"5,228"
0.02,-0.06,0.02,0.04,489,"7,840",207.5,28.37,3.96,26.5,27.55,49,"1,029"
0.02,-0.05,0.02,0.04,429,"2,540",208.33,28.5,1.13,27.3,28.35,1,744
0.03,-0.03,0.02,0.04,"3,582","20,354",210,30.27,3.12,29,30.05,75,"4,434"
0.02,-0.02,0,0.03,799,"3,145",211.67,32.92,2.54,30.6,31.7,"1,074",400
0.03,-0.01,0.01,0.03,651,"1,882",212.5,33.25,-11,31.5,32.55,"12,495","1,675"
0.02,-0.02,0.01,0.03,321,"2,823",213.33,33.52,1.67,32.3,33.35,"2,459",361
0.02,0,0.01,0.02,"1,373","17,158",215,35.79,0.84,34,35.05,"21,725","3,927"
0.01,-0.02,0.01,0.02,136,"6,407",216.67,36.98,1.23,35.65,36.7,"13,678","1,998"
0.01,-0.02,0.01,0.02,51,"1,832",217.5,40.92,0,36.5,37.55,0,6
0.01,-0.02,0.01,0.02,192,"2,615",218.33,39.75,-3.15,37.3,38.35,120,37
0.02,0.01,0.01,0.02,887,"25,416",220,41.15,3.75,39,40.05,"16,258","1,369"
0.01,-0.01,0,0.02,73,"2,482",221.67,43.1,-1.95,40.65,41.7,483,46
0.01,-0.01,0,0.02,107,"1,127",222.5,54.32,0,41.5,42.55,0,1
0.01,-0.01,0.01,0.02,53,"1,685",223.33,41,-9.09,42.3,43.35,2,91
0.01,0,0,0.01,399,"10,638",225,45.23,-4.77,44,45.05,"12,911",949
0.01,0,0,0.01,4,"2,888",226.67,48.1,-3.69,45.65,46.7,"1,245",96
0.01,0,0,0.01,39,"1,483",227.5,45.33,0,46.5,47.55,0,7
0.01,-0.01,0,0.01,15,"5,602",228.33,49.4,-3.95,47.3,48.35,596,60
0.01,0,0,0.01,87,"11,656",230,50.11,0.66,49,50.05,"11,620",946
0.01,0,0,0.01,166,"1,791",231.67,52.95,-5.08,50.65,51.7,109,36
0.01,-0.01,0,0.01,2,"6,624",233.33,53.95,-4.38,52.3,53.35,"3,393",275
0.01,0,0,0.01,23,"10,017",235,61.34,0,54,55.05,0,4
0.01,0,0,0.01,2,"1,602",236.67,54.3,0,55.65,56.7,0,2
0.01,0,0,0.01,25,"2,008",238.33,64.55,0,57.25,58.35,0,6
0.01,0,0,0.01,44,"10,009",240,61.87,-3.62,59,60.05,135,30
0.01,0,0,0.01,2,"2,201",241.67,60.2,0.75,60.65,61.7,2,21
0.01,0,0,0.01,2,"1,623",243.33,63.9,-4.55,62.3,63.35,614,66
0.02,0.01,0,0.01,13,"2,882",245,66.4,0.72,64,65.05,3,1
0.01,0,0,0.01,0,"1,601",246.67,64.45,0,65.65,66.7,0,1
0.02,0.01,0,0.01,20,"1,475",248.33,66.05,0,67.3,68.35,0,5
0.01,0,0,0.01,28,"28,522",250,71.05,-3.95,69,70.05,"4,972",416
0.01,0,0,0.01,11,"2,034",251.67,73.1,-4.12,70.65,71.7,79,17
0.01,0,0,0.01,1,"1,982",253.33,73.05,0,72.3,73.35,0,1
0.01,0,0,0.01,136,"5,410",255,81.23,0,74,75.05,0,2
0.01,0,0,0.01,0,"1,387",256.67,66.7,0,75.6,76.7,0,1
0.01,0,0,0.01,1,944,258.33,75.98,0,77.3,78.35,0,2
0.01,0,0,0.01,4,"13,084",260,82.05,-12.57,78.9,80.05,123,21
0.01,0,0,0.01,0,"3,069",261.67,56.4,0,80.65,81.7,0,1
0.01,0,0,0.01,0,"1,645",263.33,84.6,-3.24,82.3,83.35,180,31
0.01,0,0,0.01,2,"2,938",265,84.8,-6.75,84,85.05,1,1
0.01,0,0,0.01,3,"10,551",266.67,88.95,3.5,85.7,86.7,"3,090",172
0.01,0,0,0.01,20,"6,914",270,90.73,-6.23,89,90.05,76,23
0.01,0,0,0.01,0,"4,521",273.33,93.9,-4.9,92.3,93.35,470,49
0.01,0,0,0.01,4,"2,929",275,105.75,0,94,95.05,0,1
0.01,0,0,0.01,1,"2,107",276.67,102,0,95.65,96.7,0,6
0.01,0,0,0.01,2,"4,603",280,100.55,-3.94,99,100.05,56,10
0.02,0,0,0.01,0,"7,079",283.33,108,0,102.3,103.35,0,27
0.01,0,0,0.01,15,"1,458",285,83.15,0,104,105.05,0,188
0.01,0,0,0.01,1,"1,969",286.67,104.57,0,105.65,106.7,0,2
0.01,0,0,0.01,1,"4,744",290,112.05,1.55,109,110.05,353,31
0.01,0,0,0.01,500,"7,979",293.33,114.75,-5.05,112.3,113.35,71,15
0.01,0,0,0.01,12,"3,442",295,93.55,0,114,115.05,0,37
0.01,0,0,0.01,6,"1,746",296.67,95.3,0,115.65,116.7,0,22
0.01,0,0,0.01,0,"1,176",298.33,117.5,0,117.3,118.35,0,2
0.01,0,0,0.01,30,"74,244",300,120.6,-5.83,118.9,120.05,106,27
0.02,0,0,0.01,0,"2,870",301.67,123.1,-4.79,120.65,121.7,107,15
0.01,0,0,0.01,0,"1,586",303.33,129.78,0,122.3,123.35,0,3
0.01,-0.02,0,0.01,10,"3,562",305,127.15,3.65,124,125.05,173,19
0.01,0,0,0.01,0,"2,520",306.67,132.01,0,125.65,126.7,0,13
0.01,0,0,0.01,6,"3,488",308.33,104.5,0,127.3,128.35,0,20
0.01,0,0,0.01,3,"4,262",310,130.5,-5.85,128.9,130.05,50,11
0.01,0,0,0.01,26,"2,146",311.67,130.78,0,130.65,131.7,0,3
0.01,-0.01,0,0.01,6,"2,599",313.33,139.7,0,132.3,133.35,0,11
0.01,0,0,0.01,5,"30,073",316.67,135.86,0,135.65,136.7,0,3
0.01,0,0,0.01,0,"14,790",320,131.58,0,138.9,140.05,0,216
0.01,0,0,0.01,1,737,323.33,128.3,0,142.3,143.35,0,5
0.01,0,0,0.01,0,716,326.67,122.15,0,145.65,146.7,0,1
0.01,0,0,0.01,0,"4,016",330,125.64,0,148.9,150.05,0,1
0.01,0,0,0.01,12,"21,439",333.33,154.4,-4,152.25,153.35,97,12
0.01,0,0,0.01,0,946,336.67,161.76,0,155.65,156.7,0,1
0.01,0,0,0.01,2,"5,657",340,149.3,0,158.9,160.05,0,8
0.01,0,0,0.01,0,"2,146",343.33,170.08,0,162.35,163.35,0,136
0.01,0,0,0.01,0,630,346.67,145.5,0,165.65,166.7,0,2
0.01,0,0,0.01,3,"11,003",350,172.25,-5.88,168.9,170.05,1,2
0.01,-0.02,0,0.01,3,"1,551",353.33,179.72,0,172.3,173.35,0,61
0.01,0,0,0.01,0,812,356.67,160.52,0,175.65,176.7,0,181
0.01,0,0,0.01,1,"19,119",360,171.55,0,178.9,180.05,0,15
0.01,0,0,0.01,0,673,363.33,143.85,0,182.3,183.35,0,63
0.01,0,0,0.01,6,"7,809",366.67,176.38,0,185.65,186.7,0,120
0.01,0,0,0.01,0,"1,942",370,169.15,0,188.9,190.05,0,8
0.01,0,0,0.01,0,823,373.33,182.1,0,192.35,193.35,0,8
0.01,0,0,0.01,0,"12,793",383.33,185.98,0,202.35,203.35,0,36
0.01,0,0,0.01,43,"36,816",400,198.95,0,218.9,220.05,0,1
0.01,0,0,0.01,60,"13,241",416.67,305.6,0,235.6,236.7,0,475
0.01,0,0,0.01,63,"19,559",433.33,212.7,0,252.3,253.35,0,65
0.01,0,0,0.01,0,"2,466",441.67,225.4,0,260.65,261.7,0,7
0.01,0,0,0.01,0,"6,225",450,240.23,0,268.9,270.05,0,15
0.01,0,0,0.01,3,"3,171",458.33,216.05,0,277.3,278.35,0,351
0.01,0,0,0.01,2,"3,331",466.67,284.34,0,285.65,286.7,0,4
0.01,0,0,0.01,0,"3,835",475,292.69,0,293.95,295.05,0,7
0.01,0,0,0.01,0,"1,910",483.33,274.98,0,302.3,303.35,0,204
0.02,0,0,0.01,0,"2,528",491.67,250.33,0,310.65,311.7,0,204
0.01,0,0,0.01,0,"13,994",500,326.2,0,318.9,320.05,0,6
0.01,0,0,0.01,0,"3,928",508.33,326.22,0,327.3,328.4,0,53
0.01,0,0,0.01,0,"1,215",516.67,308.94,0,335.65,336.7,0,339
0.01,0,0,0.01,0,"4,902",525,276.81,0,343.95,345.05,0,2
0.01,0,0,0.01,15,"4,766",533.33,302.6,0,352.3,353.35,0,2
0.01,0,0,0.01,0,"1,103",541.67,0,0,360.55,361.7,0,
0.01,0,0,0.01,0,"5,013",550,262.43,0,368.95,370.05,0,44
0.02,0,0,0.01,0,"3,800",558.33,0,0,377.3,378.35,0,
0.01,0,0,0.01,0,"7,724",566.67,409.26,0,385.55,386.7,0,6
0.01,0,0,0.01,0,"11,867",575,417.93,0,393.9,395.05,0,6
0.01,0,0,0.01,9,"2,670",583.33,411.87,0,402.3,403.35,0,
0.01,0,0,0.01,0,"1,176",591.67,0,0,410.55,411.7,0,
0.01,0,0,0.01,0,"5,933",600,404.5,0,418.95,420.05,0,"6,675"
0.01,0,0,0.01,0,581,608.33,0,0,427.25,428.35,0,
0.01,0,0,0.01,6,"3,992",616.67,0,0,435.6,436.7,0,
0.01,0,0,0.01,0,"1,050",625,430.95,0,443.9,445.05,0,100
0.01,0,0,0.01,0,"2,372",633.33,0,0,452.25,453.35,0,
0.01,0,0,0.01,0,"1,684",641.67,0,0,460.55,461.7,0,
0.01,0,0,0.01,0,"9,133",650,51.45,0,468.95,470.05,0,"2,711"
0.01,0,0,0.01,5,"70,973",666.67,0,0,485.55,486.7,0,
0.01,0,0,0.01,0,"21,633",675,58.7,0,493.95,495.05,0,99
0.01,0,0,0.01,0,"4,041",683.33,0,0,502.3,503.35,0,
0.01,0,0,0.01,0,"1,388",691.67,0,0,510.55,511.7,0,
0.01,0,0,0.01,0,"4,724",700,65.25,0,518.9,520.05,0,"2,617"
0.01,0,0,0.01,0,602,708.33,0,0,527.3,528.35,0,
0.01,0,0,0.01,0,783,716.67,0,0,535.6,536.7,0,
0.01,0,0,0.01,0,"1,043",725,547.9,0,543.9,545.05,0,43
0.01,0,0,0.01,0,"1,614",733.33,0,0,552.3,553.35,0,
0.01,0,0,0.01,0,756,741.67,0,0,560.55,561.7,0,
0.02,0,0,0.01,0,754,750,471.3,0,568.9,570.05,0,"2,152"
0.01,0,0,0.01,0,"1,235",758.33,0,0,577.25,578.35,0,
0.01,0,0,0.01,0,"1,260",766.67,592.7,0,585.6,586.7,0,
0.01,0,0,0.01,0,849,775,569.1,0,593.9,595.05,0,1
0.01,0,0,0.01,0,"1,306",783.33,574.65,0,602.2,603.35,0,
0.01,0,0,0.01,0,"1,448",791.67,0,0,610.6,611.7,0,
0.01,0,0,0.01,0,"5,382",800,661,0,618.9,620.05,0,1
0.01,0,0,0.01,0,"1,842",808.33,634.35,0,627.25,628.35,0,
0.01,0,0,0.01,0,"2,608",816.67,639.55,0,635.6,636.7,0,
0.01,0,0,0.01,1,"60,238",825,647.04,16.06,643.9,645.05,5,
